scenario,trial,threshold,share_count,available_count,corrupted_count,expected_result,recovery_succeeded,key_matches,decryption_succeeded,failure_reason,share_generation_ms,recovery_ms,corrected_error_count,storage_overhead_ratio
Larger insufficient shares,16,4,7,3,0,Failure,False,False,False,DecodingFailure,0.014999997802078724,0.0012999953469261527,0,21.0
Larger insufficient shares,17,4,7,3,0,Failure,False,False,False,DecodingFailure,0.01440000778529793,0.001200009137392044,0,21.0
Larger insufficient shares,18,4,7,3,0,Failure,False,False,False,DecodingFailure,0.015300000086426735,0.0010999938240274787,0,21.0
Larger insufficient shares,19,4,7,3,0,Failure,False,False,False,DecodingFailure,0.015300000086426735,0.0011999945854768157,0,21.0
Larger insufficient shares,20,4,7,3,0,Failure,False,False,False,DecodingFailure,0.015099998563528061,0.001200009137392044,0,21.0
Larger insufficient shares,21,4,7,3,0,Failure,False,False,False,DecodingFailure,0.014500008546747267,0.001200009137392044,0,21.0
Larger insufficient shares,22,4,7,3,0,Failure,False,False,False,DecodingFailure,0.014899997040629387,0.0013999961083754897,0,21.0
Larger insufficient shares,23,4,7,3,0,Failure,False,False,False,DecodingFailure,0.014199991710484028,0.001100008375942707,0,21.0
Larger insufficient shares,24,4,7,3,0,Failure,False,False,False,DecodingFailure,0.014600009308196604,0.0011999945854768157,0,21.0
Larger insufficient shares,25,4,7,3,0,Failure,False,False,False,DecodingFailure,0.01440000778529793,0.0012999953469261527,0,21.0
Correct one corrupted share,1,4,7,6,1,Success,True,True,True,,0.01479999627918005,0.23469999723602086,1,21.0
Correct one corrupted share,2,4,7,6,1,Success,True,True,True,,0.017700003809295595,0.2165000041713938,1,21.0
Correct one corrupted share,3,4,7,6,1,Success,True,True,True,,0.0168999977177009,0.2080000122077763,1,21.0
Correct one corrupted share,4,4,7,6,1,Success,True,True,True,,0.016900012269616127,0.31949998810887337,1,21.0
Correct one corrupted share,5,4,7,6,1,Success,True,True,True,,0.025899993488565087,0.31010000384412706,1,21.0
Correct one corrupted share,6,4,7,6,1,Success,True,True,True,,0.03060000017285347,0.2893000055337325,1,21.0
Correct one corrupted share,7,4,7,6,1,Success,True,True,True,,0.020499996026046574,0.24280000070575625,1,21.0
Correct one corrupted share,8,4,7,6,1,Success,True,True,True,,0.018300008377991617,0.26760000037029386,1,21.0
Correct one corrupted share,9,4,7,6,1,Success,True,True,True,,0.017300000763498247,0.21769999875687063,1,21.0
Correct one corrupted share,10,4,7,6,1,Success,True,True,True,,0.017099999240599573,0.2390000008745119,1,21.0
